obs	key	value	ccd	suffix
LOAO	INSTRUME	ARC Camera	E2V
LOAO	INSTRUME	Finger Lakes	FLI
CBNUO	DETECTOR	WIDE 0.6m STX-16803	STX16803
SAO	INSTRUME	SBIG STX-16803 3 CCD Camera	STX16803
SAO	INSTRUME	QHYCCD-Cameras-Capture	QHY461
SAO	INSTRUME	ASCOM Camera Driver for FLI Kepler	KL4040
KCT	INSTRUME	SBIG STX-16803 3 CCD Camera	STX16803
KCT	INSTRUME	ASI Camera (1)	ASI1600MM
DOAO	INSTRUME	Dirver for Princeton Instruments cameras	Sophia?
DOAO	INSTRUME	FLI	FLI
SOAO	INSTRUME	FLI4K	FLI4K?
KHAO	INSTRUME	FLI	FLI
MDFTS	INSTRUME	QSI 683ws Camera	QSI
RASA36	INSTRUME	ASCOM Camera Driver for FLI Kepler	KL4040
LSGT	INSTRUME	Andor Tech	SNUCAMII
30INCH	DETECTOR	pfclf1_0004	LF1
